house_id,area_sqft,bedrooms,bathrooms,location_score,age_years,distance_city_km,lot_size_sqft,has_garage,has_pool,renovation_years_ago,house_price_inr
100210.95,1722,4,3,1.9,8.0,32.8,4009.0,0,0,8,9147446.0
100210.95,902,3,3,4.7,48.0,10.0,1980.0,1,0,1,8948973.0
100210.95,1894,5,3,2.7,50.0,23.1,5331.0,1,0,1,12201793.0
100210.95,1260,3,1,3.9,18.0,25.8,4023.0,1,0,8,12725267.0
100210.95,1460,3,2,4.4,19.0,22.4,2384.0,1,0,2,16775146.0
100210.95,1259,2,1,4.9,21.0,8.0,2366.0,1,0,3,16015907.0
100210.95,2735,6,5,7.1,20.0,12.3,3964.0,1,1,2,46250249.55
100210.95,1641,3,2,7.1,11.0,28.5,3619.0,1,0,9,24532466.0
100210.95,962,3,3,6.0,33.0,18.5,2437.0,1,0,1,14572835.0
100210.95,2185,4,3,7.3,33.0,16.7,3126.0,1,1,22,36179860.0
100210.95,856,1,1,4.1,19.0,18.8,2294.0,0,0,1,10049125.0
100210.95,1786,5,4,8.8,19.0,10.1,3086.0,1,1,19,35534342.0
100210.95,606,1,1,7.3,18.0,13.0,1026.75,0,0,15,7998255.0
100210.95,787,3,2,2.2,32.0,32.8,2108.0,1,0,18,6189628.85
100210.95,1778,4,3,5.1,21.0,26.2,2889.0,1,0,2,22655265.0
100210.95,2130,3,2,2.3,18.0,30.5,2466.0,0,0,11,13523245.0
100210.95,1761,5,5,7.5,9.0,12.9,4308.0,1,0,9,32598361.0
100210.95,1575,3,2,8.9,35.0,4.0,3026.0,1,0,8,32984334.0
100210.95,1454,4,2,3.9,13.0,13.0,3953.0,1,0,8,14259713.0
100210.95,689,2,2,6.4,9.0,16.3,1722.0,1,0,2,10673815.0
100210.95,1182,1,1,5.8,29.0,22.8,1124.0,0,0,5,16825629.0
100210.95,1351,3,3,3.8,21.0,31.6,3768.0,0,0,2,13112113.0
100210.95,2337,6,5,6.9,50.0,9.0,6380.199999999993,1,0,22,40733402.0
100210.95,1873,5,3,8.9,8.0,4.0,4908.0,1,0,8,45355110.0
100210.95,606,1,1,4.8,14.0,26.2,1333.0,1,0,0,6189628.85
100210.95,1861,5,2,5.2,29.0,14.5,3445.0,0,0,6,28934424.0
100210.95,1400,3,3,8.6,20.0,4.0,2400.0,1,1,10,29171512.0
100210.95,1210,3,2,4.4,23.0,18.8,2574.0,1,0,1,14032399.0
100210.95,2048,4,3,7.1,23.0,10.6,5226.0,1,0,11,34780122.0
100210.95,2320,5,3,2.2,6.950000000000017,32.8,5885.0,1,0,0,19505645.0
100210.95,2255,6,5,5.9,24.0,22.5,3918.0,1,0,5,30198660.0
100210.95,1105,2,3,2.8,31.0,22.2,1853.0,0,0,10,9856250.0
100210.95,1449,4,3,3.7,12.0,32.3,1602.0,1,0,5,17035215.0
100210.95,1865,4,2,4.1,12.0,23.5,4454.0,0,0,5,22301856.0
100210.95,2284,4,4,7.1,16.0,20.1,4034.0,1,0,16,40604367.0
100210.95,1339,4,2,7.1,9.0,21.7,2436.0,1,0,4,22988622.0
100210.95,1529,3,1,6.4,11.0,14.2,4643.0,0,0,11,24140544.0
100210.95,931,3,3,1.9,22.0,32.8,2196.0,1,0,19,6189628.85
100210.95,872,2,1,3.5,41.0,22.1,1913.0,1,0,2,6189628.85
100210.95,2178,5,4,5.9,15.0,22.9,5441.0,0,0,0,36556801.0
100210.95,2532,6,4,6.4,50.0,16.3,6380.199999999993,1,0,17,38904371.0
100210.95,1603,4,3,1.9,14.0,32.8,1650.0,1,0,8,9438762.0
100210.95,2302,4,4,8.7,33.0,18.0,3823.0,1,0,18,42398838.0
100210.95,1885,3,2,5.2,13.0,22.7,3507.0,1,0,2,28086039.0
100210.95,1231,3,2,3.6,26.0,23.6,1739.0,1,0,18,11943834.0
100210.95,1885,4,3,6.0,47.0,16.5,3470.0,1,0,1,25683316.0
100210.95,2650,5,5,2.1,29.0,11.0,2834.0,1,0,21,20248566.0
100210.95,1627,3,2,3.1,19.0,21.4,4154.0,0,0,17,14871613.0
100210.95,2667,5,3,5.6,18.0,23.8,4506.0,0,0,8,34113486.0
100210.95,606,1,2,5.6,26.0,24.0,1026.75,1,0,9,6189628.85
100210.95,2184,5,3,8.3,31.0,5.7,4435.0,1,0,4,45825043.0
100210.95,1707,3,3,2.0,33.0,30.0,3985.0,1,0,2,10720305.0
100210.95,1456,2,1,8.5,22.0,8.4,1026.75,1,0,6,28889145.0
100210.95,1710,4,5,5.3,25.0,23.2,3882.0,1,0,11,25309569.0
100210.95,606,1,1,4.0,12.0,32.8,1026.75,0,0,12,6189628.85
100210.95,1507,5,3,5.6,27.0,22.5,3382.0,1,0,17,20716601.0
100210.95,1882,3,2,8.9,13.0,4.3,2432.0,1,1,6,39973292.0
100210.95,2611,6,5,4.5,23.0,21.0,5870.0,0,0,14,29865355.0
100210.95,1313,4,2,6.6,17.0,23.6,3649.0,0,1,1,20490893.0
100210.95,1124,2,3,3.0,44.0,17.5,2376.0,1,0,5,8498248.0
100210.95,1324,3,3,4.9,22.0,16.6,2078.0,1,0,6,17694470.0
100210.95,2245,5,4,7.8,47.0,15.9,3583.0,0,0,22,39521535.0
100210.95,1864,4,2,4.6,20.0,29.0,4372.0,1,0,5,23344063.0
100210.95,1306,4,3,6.9,50.0,18.0,3058.0,1,0,1,21472564.0
100210.95,1984,5,3,5.7,28.0,14.3,4392.0,1,0,1,26109599.0
100210.95,1713,4,4,8.9,6.950000000000017,10.9,3387.0,1,0,0,35908822.0
100210.95,2280,5,3,8.7,17.0,11.4,4838.0,1,0,3,46250249.55
100210.95,1194,1,1,6.1,14.0,18.8,2341.0,0,0,14,16503162.0
100210.95,1437,3,2,2.7,9.0,26.3,2546.0,1,0,7,12979282.0
100210.95,1395,4,2,1.9,13.0,30.8,3424.0,1,0,4,9380360.0
100210.95,699,1,2,2.3,15.0,22.7,1528.0,1,0,14,6189628.85
100210.95,1842,3,3,5.2,7.0,32.8,5110.0,1,0,0,25639910.0
100210.95,1820,4,4,7.0,19.0,14.9,4860.0,0,0,13,31233563.0
100210.95,1653,3,1,3.6,27.0,27.5,3581.0,0,0,13,14515200.0
100210.95,1498,3,3,6.5,50.0,14.2,3531.0,0,0,13,20387219.0
100210.95,730,1,3,4.1,42.0,27.8,1041.0,1,0,19,6189628.85
100210.95,1377,2,1,6.0,18.0,9.2,2690.0,1,0,18,22127803.0
100210.95,1427,2,3,7.0,21.0,4.0,3147.0,0,0,11,26744300.0
100210.95,1129,3,2,4.1,29.0,22.5,1186.0,1,0,22,12071459.0
100210.95,1545,2,1,2.5,19.0,32.8,3488.0,0,0,0,8884965.0
100210.95,1913,3,2,4.2,22.0,29.6,2725.0,0,0,22,21670444.0
100210.95,2735,6,5,1.9,13.0,26.5,4286.0,1,0,2,23384456.0
100210.95,1763,5,3,4.7,21.0,24.0,2966.0,0,0,2,23395155.0
100210.95,1817,4,3,8.9,23.0,4.0,3601.0,1,1,17,39138320.0
100210.95,1602,3,3,5.7,9.0,20.5,1927.0,0,0,5,23816387.0
100210.95,606,1,1,3.2,29.0,28.4,1131.0,0,0,6,6189628.85
100210.95,1633,2,2,5.2,29.0,25.0,3440.0,0,0,3,20297446.0
100210.95,1689,4,3,3.7,30.0,14.5,5329.0,0,0,3,19706260.0
100210.95,2735,6,5,5.6,13.0,10.6,6380.199999999993,1,1,1,45023844.0
100210.95,1525,3,2,7.3,47.0,12.6,3572.0,1,0,2,24186928.0
100210.95,1846,5,4,4.7,17.0,14.7,2746.0,0,0,8,25332217.0
100210.95,1627,3,2,1.9,10.0,22.6,2100.0,1,0,10,12622867.0
100210.95,890,3,3,5.8,45.0,19.2,2111.0,0,0,13,10333311.0
100210.95,2393,5,3,4.9,11.0,14.8,3216.0,1,0,5,31563700.0
100210.95,2139,4,4,2.1,25.0,32.8,5102.0,1,0,22,13403633.0
100210.95,2164,5,3,5.9,15.0,14.1,6380.199999999993,1,0,4,31300735.0
100210.95,1059,2,2,8.8,7.0,7.0,2719.0,1,0,0,24397074.0
100210.95,2562,6,4,6.0,11.0,18.8,6001.0,1,0,11,39511096.0
100210.95,739,1,1,5.5,42.0,9.5,1597.0,1,0,8,9427296.0
100210.95,2031,4,2,7.2,21.0,16.5,3594.0,0,0,21,32073057.0
100210.95,2735,6,4,7.0,15.0,16.0,5937.0,1,0,5,46250249.55
100210.95,1006,2,2,4.9,18.0,18.2,1671.0,1,0,14,13194994.0
100210.95,1282,4,3,5.9,10.0,18.9,1552.0,0,0,1,20020900.0
100210.95,1715,5,4,3.4,12.0,27.4,3466.0,0,0,12,15116225.0
100210.95,1323,3,2,7.7,33.0,20.5,3525.0,0,0,2,24692739.0
100210.95,642,2,1,6.3,24.0,31.1,1026.75,1,1,1,9023544.0
100210.95,1695,3,1,1.9,21.0,23.5,4812.0,0,0,1,13982334.0
100210.95,960,3,3,8.4,19.0,4.0,2621.0,1,0,8,19729755.0
100210.95,1958,5,5,8.6,7.0,9.8,4382.0,0,1,0,46101140.0
100210.95,1052,3,3,5.9,20.0,4.8,2360.0,0,0,20,15524849.0
100210.95,2657,5,4,7.5,33.0,16.4,5017.0,0,0,19,46250249.55
100210.95,1141,1,2,4.8,14.0,21.3,2311.0,0,0,14,14542026.0
100210.95,1441,4,4,2.5,20.0,29.7,2481.0,1,0,17,9503942.0
100210.95,2179,3,3,8.3,6.950000000000017,8.3,4399.0,0,1,0,37846975.0
100210.95,850,2,2,8.1,40.0,12.2,1771.0,0,0,20,13452887.0
100210.95,1798,5,3,3.8,47.0,26.4,5625.0,1,0,22,15516550.0
100210.95,2500,6,3,4.8,47.0,21.8,5848.0,1,1,22,24635062.0
100210.95,606,3,2,7.6,7.0,4.1,1134.0,1,0,0,13284966.0
100210.95,1770,5,4,5.4,35.0,19.8,3435.0,1,0,2,23050706.0
100210.95,1819,4,3,5.7,6.950000000000017,29.0,2860.0,1,0,0,26212040.0
100210.95,2158,5,5,6.9,36.0,15.7,3606.0,1,0,1,36719649.0
100210.95,846,2,2,7.4,21.0,13.6,2154.0,0,0,2,15262659.0
100210.95,792,1,2,6.8,17.0,24.0,1349.0,0,1,15,12525178.0
100210.95,1989,4,3,8.9,34.0,4.0,3241.0,1,0,10,43103886.0
100210.95,1843,4,3,8.1,22.0,16.0,3031.0,1,0,11,35947398.0
100210.95,1813,2,1,7.0,12.0,10.8,2833.0,1,0,12,29109891.0
100210.95,1875,4,2,5.4,30.0,25.3,5018.0,1,0,11,22967365.0
100210.95,1208,2,2,8.9,39.0,12.2,2519.0,1,0,6,20918771.0
100210.95,1801,3,2,6.8,33.0,12.1,3297.0,0,1,3,30708702.0
100210.95,1840,4,4,7.7,34.0,10.3,3712.0,1,0,4,32068145.0
100210.95,1186,3,3,4.4,10.0,27.7,2527.0,1,0,3,17232888.0
100210.95,2735,6,5,7.3,15.0,4.0,4442.0,0,0,0,46250249.55
100210.95,1958,4,5,7.4,24.0,10.1,2284.0,0,0,3,37141974.0
100210.95,876,2,2,6.5,44.0,19.2,2456.0,0,1,18,12618512.0
100210.95,2077,5,4,1.9,13.0,28.1,5385.0,1,0,13,15559326.0
100210.95,1016,3,2,6.3,43.0,16.9,2262.0,0,0,10,14964002.0
100210.95,2162,4,3,6.5,6.950000000000017,4.0,5516.0,1,0,0,39527395.0
100210.95,2403,6,5,3.0,40.0,20.9,6380.199999999993,1,0,3,23325070.0
100210.95,1117,3,3,7.0,38.0,18.1,1875.0,1,0,9,16521197.0
100210.95,2276,5,2,8.7,50.0,4.4,3022.0,1,0,0,40809606.0
100210.95,1918,6,4,3.7,36.0,16.1,4597.0,0,0,22,21124369.0
100210.95,2184,4,4,8.3,25.0,16.5,2446.0,0,0,6,46250249.55
100210.95,2735,6,5,7.3,17.0,16.2,5832.0,1,0,2,46250249.55
100210.95,1490,3,3,8.4,16.0,4.0,2713.0,1,0,3,30554464.0
100210.95,1160,3,1,2.2,20.0,29.2,2789.0,1,0,19,7228992.0
100210.95,1072,1,1,6.1,16.0,10.4,1834.0,0,0,1,15114676.0
100210.95,1120,2,2,6.3,30.0,15.2,3046.0,1,0,22,14632217.0
100210.95,1600,3,3,8.4,35.0,10.9,2483.0,1,0,5,27988508.0
100210.95,1872,4,4,8.6,12.0,4.3,4537.0,1,0,3,40065825.0
100210.95,1830,5,3,4.5,36.0,26.0,2928.0,1,0,4,21339353.0
100210.95,2188,5,4,4.8,26.0,26.0,5096.0,0,0,5,28092171.0
100210.95,1658,2,2,7.4,18.0,14.4,2307.0,0,0,8,29827114.0
100210.95,2595,6,4,6.8,40.0,17.1,5152.0,1,0,9,40116060.0
100210.95,1478,4,1,5.5,13.0,9.8,4128.0,1,0,6,18988586.0
100210.95,2735,6,5,5.3,9.0,27.3,6380.199999999993,1,0,6,42797532.0
100210.95,2057,5,4,7.3,13.0,12.6,5574.0,0,0,3,34642292.0
100210.95,1093,3,2,5.6,15.0,12.6,2169.0,1,1,5,17578908.0
100210.95,954,2,1,4.7,39.0,21.8,1619.0,1,0,6,10434467.0
100210.95,1964,5,4,4.8,50.0,25.1,4131.0,1,0,9,21933028.0
100210.95,1505,3,2,3.7,38.0,27.0,3568.0,1,0,1,14786512.0
100210.95,2114,4,3,5.3,22.0,12.6,1811.0,0,0,14,35203634.0
100210.95,1958,4,4,4.7,6.950000000000017,25.4,4530.0,1,0,0,25096759.0
100210.95,1603,2,1,5.8,14.0,17.2,2302.0,1,0,4,22656959.0
100210.95,1100,3,2,3.3,50.0,28.1,1416.0,0,0,6,6770200.0
100210.95,665,2,2,8.4,34.0,5.0,1545.0,0,0,22,12599116.0
100210.95,1360,3,3,3.1,6.950000000000017,32.0,3812.0,1,0,0,14241343.0
100210.95,2207,6,3,6.2,6.950000000000017,17.5,4701.0,1,0,0,34293551.0
100210.95,1789,4,4,7.8,33.0,18.7,2123.0,0,0,7,31244713.0
100210.95,840,1,1,6.1,44.0,7.5,1342.0,0,0,10,9892532.0
100210.95,1763,5,4,4.1,11.0,14.3,3084.0,1,0,11,19659449.0
100210.95,1900,3,2,5.0,13.0,18.6,4024.0,1,0,6,24730189.0
100210.95,1075,2,1,2.9,37.0,32.8,2104.0,1,0,2,6975878.0
100210.95,1750,3,3,5.1,18.0,31.5,4020.0,1,0,18,22369358.0
100210.95,1688,5,3,5.2,19.0,14.1,4389.0,1,0,13,26336725.0
100210.95,907,3,3,5.0,19.0,20.3,2002.0,1,0,8,12272573.0
100210.95,1883,5,3,5.2,23.0,20.3,4781.0,0,0,6,23733633.0
100210.95,2015,5,3,6.8,26.0,18.9,3704.0,1,1,7,35482055.0
100210.95,2354,5,5,3.0,50.0,31.3,6380.199999999993,1,0,17,18648493.0
100210.95,2335,5,4,7.0,17.0,7.3,5445.0,1,0,0,39515595.0
100210.95,755,2,2,1.9,19.0,30.9,1820.0,0,0,19,6189628.85
100210.95,1040,3,3,8.0,10.0,4.0,3177.0,0,0,0,21034842.0
100210.95,1985,4,2,3.9,23.0,28.2,4075.0,0,0,10,20766388.0
100210.95,1984,4,4,8.9,39.0,4.8,3200.0,1,0,4,46250249.55
100210.95,1985,5,2,6.6,13.0,8.0,5526.0,1,0,11,32037511.0
100210.95,2735,6,4,5.9,12.0,19.3,6380.199999999993,0,0,1,46250249.55
100211.0,2021,4,3,5.9,37.0,15.1,4228.0,1,0,8,29503281.0
100212.0,2388,5,4,6.7,26.0,22.5,6380.199999999993,1,0,19,38254553.0
100213.0,2270,4,3,4.9,12.0,14.9,4427.0,0,0,7,29737088.0
100214.0,2073,3,2,2.8,23.0,32.8,5306.0,0,0,1,17454526.0
100215.0,1445,3,2,6.0,11.0,22.1,4204.0,1,0,0,21459949.0
100216.0,2143,5,3,6.7,17.0,22.6,4412.0,0,0,10,32968859.0
100217.0,1148,3,1,2.7,18.0,20.7,2611.0,0,0,1,11392984.0
100218.0,1496,2,2,5.9,36.0,28.0,3913.0,0,0,1,18274398.0
100219.0,1335,3,3,7.2,29.0,6.1,2377.0,1,1,6,25090692.0
100220.0,1703,2,3,4.8,38.0,19.3,2574.0,0,0,2,19313088.0
100221.0,2735,6,4,3.5,17.0,32.3,6380.199999999993,1,0,2,28442629.0
100222.0,606,1,2,3.8,28.0,26.6,1026.75,0,0,7,6189628.85
100223.0,2096,6,4,5.7,6.950000000000017,10.5,3556.0,1,0,0,30780285.0
100224.0,606,2,3,7.3,12.0,19.9,1238.0,0,0,2,9303832.0
100225.0,1343,2,3,7.3,9.0,15.1,3096.0,1,0,7,24639351.0
100226.0,2358,4,3,5.0,33.0,17.5,2496.0,1,0,3,31491904.0
100227.0,1692,4,3,8.9,50.0,4.0,4111.0,1,0,1,33530681.0
100228.0,949,1,2,5.8,19.0,20.2,2131.0,1,1,11,14470294.0
100229.0,1185,3,3,4.8,29.0,19.6,3547.0,1,0,9,15188570.0
100230.0,2092,4,3,5.0,29.0,20.9,3909.0,1,0,2,29697751.0
100231.0,1175,1,1,2.6,49.0,17.7,3321.0,0,0,9,7015123.0
100232.0,1791,2,2,7.6,17.0,9.7,3534.0,1,1,17,31703721.0
100233.0,1680,4,4,7.6,22.0,15.1,3500.0,1,0,22,32829132.0
100234.0,1226,2,3,6.5,12.0,26.8,2659.0,0,0,8,19860259.0
100235.0,2735,6,3,5.5,10.0,17.3,6380.199999999993,1,0,1,36263793.0
100236.0,2062,5,3,6.5,31.0,24.2,2591.0,0,0,6,27771465.0
100237.0,606,2,3,8.9,14.0,12.7,1034.0,1,1,0,11103961.0
100238.0,1771,4,2,7.7,14.0,13.3,3587.0,0,0,5,36745979.0
100239.0,1220,2,2,1.9,27.0,24.7,2419.0,1,0,22,6189628.85
100240.0,2204,5,3,2.4,18.0,22.0,5179.0,0,0,6,19744745.0
100241.0,1135,1,2,5.2,32.0,23.1,3023.0,0,0,8,13377337.0
100242.0,1575,4,2,7.4,32.0,9.6,3652.0,0,0,2,28572411.0
100243.0,1978,5,4,6.3,24.0,12.4,5422.0,1,0,0,34948721.0
100244.0,2213,5,4,5.9,22.0,16.2,4093.0,0,1,22,35808633.0
100245.0,870,1,1,4.0,50.0,22.0,1715.0,0,0,4,7741572.0
100246.0,1433,3,1,5.0,20.0,25.4,2005.0,1,0,3,17185959.0
100247.0,1341,2,1,5.9,33.0,14.3,4277.0,0,0,8,18348323.0
100248.0,1225,3,2,4.5,11.0,26.3,2313.0,0,0,11,14735700.0
100249.0,2735,6,5,1.9,22.0,32.8,5097.0,1,0,3,15225983.0
100250.0,1913,5,3,2.6,33.0,17.2,4522.0,1,0,7,17616171.0
100251.0,830,1,1,3.9,12.0,25.1,2211.0,0,0,4,7111388.0
100252.0,2247,5,4,7.1,20.0,4.0,3561.0,1,0,7,44576781.0
100253.0,2735,6,5,6.1,21.0,11.3,6380.199999999993,1,0,2,41554751.0
100254.0,2321,5,4,2.7,13.0,29.7,4220.0,1,0,7,19155373.0
100255.0,662,2,2,7.5,14.0,12.4,1892.0,0,0,0,12204082.0
100256.0,1335,3,2,8.8,11.0,4.0,2237.0,0,0,11,28427533.0
100257.0,2473,5,3,5.9,6.950000000000017,10.6,6037.0,0,0,0,43330581.0
100258.0,1190,2,3,7.0,11.0,4.0,2410.0,0,0,11,19544554.0
100259.0,1938,3,2,8.9,23.0,4.0,2566.0,1,0,9,42041283.0
100260.0,2154,5,4,4.3,15.0,25.6,2478.0,0,0,2,21483908.0
100261.0,1047,3,4,7.3,20.0,9.8,1627.0,1,0,7,19151893.0
100262.0,1611,5,3,3.4,22.0,25.8,4181.0,1,0,11,15793662.0
100263.0,606,2,2,4.6,19.0,21.3,1026.75,0,0,5,6189628.85
100264.0,984,3,4,3.4,33.0,25.0,2165.0,1,0,8,9039696.0
100265.0,1486,3,2,8.9,50.0,14.1,3192.0,1,0,2,30441008.0
100266.0,839,1,2,1.9,12.0,29.0,1026.75,0,0,12,6189628.85
100267.0,2711,6,4,3.8,36.0,29.1,4126.0,0,0,22,30424235.0
100268.0,720,2,1,1.9,13.0,14.4,1095.0,1,0,4,6189628.85
100269.0,1364,3,3,1.9,26.0,32.8,2771.0,1,0,16,7544831.0
100270.0,1735,4,4,4.6,9.0,13.5,4996.0,1,1,1,25600650.0
100271.0,2587,6,5,7.0,25.0,7.6,6380.199999999993,1,0,3,40147309.0
100272.0,717,3,3,6.0,17.0,12.8,1279.0,0,0,6,11465852.0
100273.0,2406,6,4,4.8,16.0,27.1,3615.0,1,0,5,31695185.0
100274.0,1657,4,4,7.4,23.0,7.5,1765.0,0,0,10,27363739.0
100275.0,1012,3,2,8.2,11.0,6.5,1794.0,0,0,8,18441053.0
100276.0,1950,5,4,8.5,11.0,4.0,2848.0,1,0,1,41626015.0
100277.0,1779,4,3,7.1,17.0,15.2,3519.0,0,0,1,29984696.0
100278.0,1260,3,3,5.3,36.0,23.6,2521.0,0,0,1,13557674.0
100279.0,1695,3,3,2.4,17.0,32.8,2906.0,0,0,17,12620477.0
100280.0,1400,4,2,8.9,50.0,21.8,2418.0,1,0,10,29671591.0
100281.0,1724,3,2,7.3,50.0,17.0,2730.0,1,0,19,23537925.0
100282.0,2080,5,4,8.0,20.0,13.2,3520.0,0,1,8,40464458.0
100283.0,2681,5,2,6.0,50.0,9.7,6380.199999999993,1,1,2,44526567.0
100284.0,845,2,2,8.1,12.0,22.2,1953.0,0,0,10,14530748.0
100285.0,2735,6,5,2.2,22.0,29.7,6380.199999999993,1,0,7,26851872.0
100286.0,606,1,1,7.8,24.0,9.9,1173.0,1,0,5,7701038.0
100287.0,1551,4,2,6.6,29.0,17.5,3961.0,0,0,5,23677708.0
100288.0,2032,4,4,6.7,8.0,11.1,5801.0,1,0,8,31072326.0
100289.0,1833,5,5,7.4,23.0,4.0,4313.0,1,0,10,30882910.0
100290.0,1245,3,3,5.7,42.0,21.3,2643.0,1,0,2,14930615.0
100291.0,1515,4,3,7.8,6.950000000000017,19.7,2493.0,1,0,0,31108627.0
100292.0,1330,2,2,3.8,12.0,26.9,2002.0,1,0,10,16426677.0
100293.0,1267,2,2,4.9,42.0,20.3,3205.0,0,0,8,16916446.0
100294.0,2202,5,4,1.9,14.0,29.7,4257.0,0,0,14,15914449.0
100295.0,1882,5,4,4.3,23.0,23.1,2228.0,1,0,2,22314594.0
100296.0,1200,4,4,5.2,27.0,20.2,1026.75,0,0,22,14340264.0
100297.0,2235,4,5,8.8,12.0,8.2,6380.199999999993,0,1,3,46250249.55
100298.0,1850,5,3,3.5,10.0,24.7,2606.0,1,0,3,17876729.0
100299.0,2178,3,2,3.1,18.0,32.8,3459.0,0,0,17,18194835.0
100300.0,2059,4,2,5.5,38.0,21.3,5635.0,1,0,4,28661309.0
100301.0,1111,2,3,2.2,23.0,29.0,1416.0,1,0,18,7660560.0
100302.0,1286,2,1,2.4,10.0,31.8,2982.0,1,0,4,9189320.0
100303.0,2136,3,1,7.9,33.0,15.3,6380.199999999993,0,0,8,37864954.0
100304.0,2047,5,4,5.7,10.0,23.6,6380.199999999993,1,0,3,29097669.0
100305.0,1636,3,4,8.3,26.0,5.6,2833.0,0,0,13,29337677.0
100306.0,1726,4,3,3.1,19.0,22.8,3440.0,1,0,2,15728620.0
100307.0,2480,6,4,5.4,16.0,13.9,4370.0,1,0,16,31043983.0
100308.0,1265,3,3,6.1,18.0,21.3,2516.0,0,1,5,19980393.0
100309.0,2006,5,5,5.7,19.0,22.2,5575.0,1,1,6,29349571.0
100310.0,1519,3,2,7.4,21.0,5.2,1763.0,0,0,0,24774237.0
100311.0,1509,2,2,4.8,24.0,22.9,3605.0,1,0,22,16497013.0
100312.0,2364,6,4,8.9,36.0,15.0,4451.0,1,0,17,46250041.0
100313.0,2187,4,2,7.1,50.0,12.3,6170.0,1,0,6,33281604.0
100314.0,2179,4,3,6.4,21.0,17.7,6078.0,0,0,21,37013044.0
100315.0,2499,5,4,3.2,34.0,29.8,4388.0,1,0,22,22334179.0
100316.0,1664,3,3,1.9,22.0,24.1,3217.0,1,0,8,9375072.0
100317.0,2093,4,3,6.9,17.0,15.2,5307.0,1,0,3,40614753.0
100318.0,1448,3,3,6.9,25.0,21.9,3750.0,1,0,7,23721414.0
100319.0,1861,4,3,3.8,8.0,20.0,1026.75,1,0,4,19531278.0
100320.0,1565,3,2,6.1,11.0,21.7,3965.0,1,0,6,23744352.0
100321.0,1713,3,2,7.3,9.0,13.3,5118.0,0,0,9,30002690.0
100322.0,2037,5,4,1.9,24.0,25.9,4386.0,0,0,3,16456281.0
100323.0,1118,3,3,5.8,6.950000000000017,17.0,2873.0,0,0,0,14720354.0
100324.0,2735,6,5,5.9,9.0,14.1,6380.199999999993,1,1,9,46250249.55
100325.0,996,3,2,3.6,6.950000000000017,18.9,2124.0,0,0,0,9844070.0
100326.0,861,3,2,6.8,21.0,13.1,2143.0,1,0,7,15221857.0
100327.0,2403,4,5,6.6,16.0,15.6,4824.0,1,0,8,37927143.0
100328.0,2165,5,4,1.9,18.0,29.8,4262.0,1,0,17,15647192.0
100329.0,2056,5,4,3.1,26.0,24.1,3296.0,0,0,0,19966742.0
100330.0,2058,4,3,6.6,20.0,16.6,4330.0,0,0,13,34347932.0
100331.0,1642,4,3,5.0,17.0,23.2,5143.0,0,0,8,19621788.0
100332.0,1067,3,2,3.7,6.950000000000017,17.0,1556.0,1,0,0,14043688.0
100333.0,1699,4,3,4.9,26.0,18.8,4027.0,0,0,15,26557209.0
100334.0,1210,2,1,7.1,6.950000000000017,4.0,2653.0,0,1,0,26316210.0
100335.0,2284,6,3,3.0,23.0,25.0,6380.199999999993,1,0,22,20287607.0
100336.0,1554,3,2,5.7,50.0,18.8,4658.0,1,1,12,18697047.0
